,umap1,umap2,umap3,FP_cluster,FP_UMAP_label,logS0,rel,smiles_canonical,name,random,diversity
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-0.09657327,-2.4728696,0.31674576,1.0,1.0,-4.42,HR,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,progesterone,0.0,0.0
CC(=O)c1ccc(N)cc1,1.1350956,0.19804496,2.3378754,3.0,1.0,-1.61,UR,CC(=O)c1ccc(N)cc1,1-(4-aminophenyl)ethan-1-one,0.0,0.0
CC(=O)c1cccc(N)c1,0.5562554,0.31348136,1.9617778,3.0,1.0,-1.28,UR,CC(=O)c1cccc(N)c1,1-(3-aminophenyl)ethan-1-one,0.0,1.0
CC(=O)c1ccccc1,-0.16490333,0.35744956,1.8135868,3.0,1.0,-1.29,UR,CC(=O)c1ccccc1,acetophenone,0.0,0.0
CC(C)(C)C(C)(C)O,5.6395082,-1.1032531,-0.1273001,0.0,1.0,-0.72,UR,CC(C)(C)C(C)(C)O,"2,3,3-trimethylbutan-2-ol",0.0,0.0
CC(C)(C)CCCO,5.483187,-1.0456374,-0.2577897,0.0,1.0,-1.55,UR,CC(C)(C)CCCO,"4,4-dimethylpentan-1-ol",0.0,0.0
CC(C)(C)CCO,5.477601,-1.10403,-0.07306084,0.0,1.0,-0.5,UR,CC(C)(C)CCO,"3,3-dimethyl-1-butanol",0.0,1.0
CC(C)(C)CO,5.343907,-1.2118543,0.0027126202,0.0,1.0,-0.4000000000000001,UR,CC(C)(C)CO,"2,2-dimethylpropanol",0.0,0.0
CC(C)(C)COC(N)=O,3.7258058,0.7276471,0.042997777,0.0,1.0,-0.8,UR,CC(C)(C)COC(N)=O,"2,2-dimethylpropyl carbamate",0.0,1.0
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(CC[C@]4(C)[C@H]3CC[C@]12C)C(O)=O,-0.430901,-2.7605793,0.5305968,1.0,1.0,-8.7585,HR,CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)O)CCC4(C)C3CCC12C,epristeride,0.0,1.0
CC(C)(C)NC[C@H](O)COc1ccc(NC(=O)NC2CCCCC2)cc1,1.3114063,1.9267443,1.7213933,3.0,1.0,-3.62,LR,CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,talinolol,0.0,1.0
CC(C)(C)NC[C@H](O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,1.2172269,2.2685232,1.4699903,3.0,1.0,-1.57,HR,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,nadolol,0.0,1.0
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,,,,,,-1.224,HR,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,salbutamol,1.0,2.0
CC(C)(C)OC(N)=O,3.4982524,0.6610576,0.35174927,0.0,1.0,0.1,UR,CC(C)(C)OC(N)=O,tert-butyl carbamate,0.0,1.0
CC(C)(C)c1ccc(O)cc1,0.37938115,-0.6884152,1.5101975,3.0,1.0,-2.41,UR,CC(C)(C)c1ccc(O)cc1,p-tert-butylphenol,0.0,1.0
CC(C)(C)c1ccc(cc1)[C@@H](O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,-0.8074285,0.7794979,2.803874,3.0,1.0,-6.69,HR,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,terfenadine,0.0,1.0
CC(C)(N)C(O)=O,3.0720022,0.33413634,0.5061704,0.0,1.0,0.21,UR,CC(C)(N)C(=O)O,alpha-aminoisobutyric acid,0.0,1.0
CC(C)(O\N=C(\C(=O)N[C@H]1[C@H]2SCC(C[n+]3ccccc3)=C(N2C1=O)C(O)=O)c1csc(N)n1)C(O)=O,-0.034235295,-0.22636463,3.4013364,3.0,1.0,-2.0380000000000003,HR,CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O,ceftazidime,0.0,1.0
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(O)=O,,,,,,-4.8,LR,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,bezafibrate,1.0,2.0
CC(C)(S)[C@@H](N)C(O)=O,3.064852,0.52697134,0.5112446,0.0,1.0,-0.13,UR,CC(C)(S)C(N)C(=O)O,d-penicilamine,0.0,0.0
CC(C)(S)[C@H](N)C(O)=O,3.1228113,0.56542045,0.45852634,0.0,1.0,-0.128,HR,CC(C)(S)C(N)C(=O)O,l-penicillamine,0.0,1.0
CC(C)=CCC1(C)C(=O)NC(=O)NC1=O,-0.45666763,-1.6841297,-1.8942362,2.0,1.0,-2.602,HR,CC(C)=CCC1(C)C(=O)NC(=O)NC1=O,5-methyl-5-(3-methylbut-2-enyl)barbituric acid,0.0,1.0
CC(C)=CCC[C@](C)(O)C=C,5.185799,-0.9843184,0.10178829,0.0,1.0,-1.99,UR,C=CC(C)(O)CCC=C(C)C,linalool,0.0,1.0
CC(C)=CCC\C(C)=C/CO,5.0636034,-0.6426498,0.09005801,0.0,1.0,-2.46,UR,CC(C)=CCCC(C)=CCO,nerol,0.0,1.0
CC(C)=CCC\C(C)=C\C=O,4.5235286,0.06870244,0.11283556,0.0,1.0,-2.06,UR,CC(C)=CCCC(C)=CC=O,citral,0.0,1.0
CC(C)C(=O)C(C)C,3.4891,0.8152949,0.63564235,0.0,1.0,-1.3,UR,CC(C)C(=O)C(C)C,"2,4-dimethyl-3-pentanone",0.0,1.0
CC(C)C(C)(C)O,,,,,,-0.41,UR,CC(C)C(C)(C)O,"2,3-dimethylbutan-2-ol",1.0,2.0
CC(C)C(O)C(C)C,5.9980683,-0.26562938,-0.17444198,0.0,1.0,-1.13725,UR,CC(C)C(O)C(C)C,"2,4-dimethyl-3-pentanol",0.0,1.0
CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-0.41484237,-1.3738331,-1.6377437,2.0,1.0,-2.766,HR,CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,"5,5-diisopropylbarbituric acid",0.0,1.0
CC(C)C1(CC=C(C)C)C(=O)NC(=O)NC1=O,,,,,,-2.593,HR,CC(C)=CCC1(C(C)C)C(=O)NC(=O)NC1=O,5-i-propyl-5-(3-methylbut-2-enyl)barbituric acid,1.0,2.0
CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,,,,,,-1.71,HR,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,aprobarbital,1.0,2.0
CC(C)C1C(=O)NC(=O)NC1=O,,,,,,-1.456,HR,CC(C)C1C(=O)NC(=O)NC1=O,5-isopropylbarbituric acid,1.0,2.0
CC(C)CC(C)(C)O,5.681854,-0.9323144,0.06509003,0.0,1.0,-0.92,UR,CC(C)CC(C)(C)O,"2,4-dimethyl-2-pentanol ",0.0,1.0
CC(C)CC(C)=O,3.4552429,0.8853192,0.42204702,0.0,1.0,-0.9666666666666668,UR,CC(=O)CC(C)C,4-methyl-2-pentanone,0.0,1.0
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,-0.6588944,-1.6685591,-1.8372742,2.0,1.0,-2.119,HR,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,butalbital,0.0,1.0
CC(C)CCC(C)=O,,,,,,-1.33,UR,CC(=O)CCC(C)C,5-methylhexan-2-one,1.0,2.0
CC(C)CCCO,5.7968254,-0.27329096,0.025494887,0.0,1.0,-1.14,UR,CC(C)CCCO,4-methylpentanol,0.0,1.0
CC(C)CCO,5.865065,-0.3325891,-0.06828589,0.0,1.0,-0.5133333333333333,UR,CC(C)CCO,3-methylbutan-1-ol,0.0,0.0
CC(C)CCOC(C)=O,4.0771933,0.7313193,0.2764397,0.0,1.0,-1.92,UR,CC(=O)OCCC(C)C,isopentyl acetate,0.0,1.0
CC(C)CCOC=O,4.72954,0.1481905,0.4110419,0.0,1.0,-1.52,UR,CC(C)CCOC=O,isopentyl formate,0.0,1.0
CC(C)CC[C@@H](C)O,5.8833203,-0.3844773,-0.08051795,0.0,1.0,-1.38,UR,CC(C)CCC(C)O,5-methylhexan-2-ol,0.0,1.0
CC(C)CNC(=O)N1CCNC1=O,3.1379552,0.94127464,0.76350623,0.0,1.0,-2.15,UR,CC(C)CNC(=O)N1CCNC1=O,isocarbamid,0.0,1.0
CC(C)COC(=O)C=C,4.058413,0.90507805,0.40668473,0.0,1.0,-1.21,UR,C=CC(=O)OCC(C)C,2-methylpropyl prop-2-enoate,0.0,1.0
CC(C)COC(C)=O,3.675537,0.8382887,0.3746385,0.0,1.0,-1.22,UR,CC(=O)OCC(C)C,isobutyl acetate,0.0,1.0
CC(C)COC=O,4.541148,0.2466926,0.40794745,0.0,1.0,-1.01,UR,CC(C)COC=O,isobutyl formate,0.0,1.0
CC(C)C[C@@H](C)O,5.87071,-0.36955792,-0.24016626,0.0,1.0,-0.7962500000000001,UR,CC(C)CC(C)O,4-methyl-2-pentanol,0.0,1.0
CC(C)C[C@H](C)CO,5.8629856,-0.38503182,-0.052295953,0.0,1.0,-1.6,UR,CC(C)CC(C)CO,"2,4-dimethylpentan-1-ol",0.0,1.0
CC(C)C[C@H](N)C(O)=O,2.9479957,0.5593447,0.6322626,0.0,1.0,-0.75,UR,CC(C)CC(N)C(=O)O,l-leucine,0.0,1.0
CC(C)Cc1ccc(cc1)[C@@H](C)C(O)=O,,,,,,-3.595,HR,CC(C)Cc1ccc(C(C)C(=O)O)cc1,ibuprofen,1.0,2.0
CC(C)Cn1c(C)nc2n(C)c(=O)n(C)c(=O)c12,-0.45110932,1.8682158,-0.61516696,4.0,1.0,-1.599,HR,Cc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(C)C,7-isobutyl-8-methyltheophylline,0.0,0.0
CC(C)Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.34898192,1.911478,-0.58835715,4.0,1.0,-0.942,HR,CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C,7-isobutyltheophylline,0.0,0.0
CC(C)N(C(=O)CCl)c1ccccc1,-0.45560148,0.26543686,2.1624203,3.0,1.0,-2.48,UR,CC(C)N(C(=O)CCl)c1ccccc1,propachlor,0.0,1.0
CC(C)N(CC[C@@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,-0.5714849,0.69786733,2.6276202,3.0,1.0,-3.1,HR,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,disopyramide,0.0,1.0
CC(C)N(CC[C@H](c1ccccc1)c1cc(C)ccc1O)C(C)C,-1.0727363,0.1759857,2.3570578,3.0,1.0,-2.58,HR,Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1,tolterodine,0.0,1.0
CC(C)NC(=O)N1CC(=O)N(C1=O)c1cc(Cl)cc(Cl)c1,1.5470067,1.2820492,1.8569996,3.0,1.0,-4.405,HR,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,iprodione,0.0,1.0
CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,,,,,,-1.3,HR,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,atenolol,1.0,2.0
CC(C)NC[C@H](O)COc1ccc(COCCOC(C)C)cc1,0.9280251,1.9977962,1.6759137,3.0,1.0,-1.93,LR,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,bisoprolol,0.0,1.0
CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,1.1792601,2.260772,1.3970319,3.0,1.0,-3.88,HR,CC(C)NCC(O)COc1cccc2[nH]ccc12,pindolol,0.0,1.0
CC(C)NC[C@H](O)COc1cccc2ccccc12,1.1723353,2.3037236,1.4759736,3.0,1.0,-3.7075,HR,CC(C)NCC(O)COc1cccc2ccccc12,propranolol,0.0,1.0
CC(C)NC[C@H](O)COc1ccccc1CC=C,1.0268083,2.1506903,1.3110032,3.0,1.0,-2.82,HR,C=CCc1ccccc1OCC(O)CNC(C)C,alprenolol,0.0,1.0
CC(C)NC[C@H]1CCc2cc(CO)c(cc2N1)[N+]([O-])=O,1.1078093,0.8419745,0.45345733,3.0,1.0,-2.965,HR,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,oxamniquine,0.0,1.0
CC(C)Nc1cccnc1N1CCN(CC1)C(=O)c1cc2cc(NS(C)(=O)=O)ccc2[nH]1,0.291718,1.5688568,0.9701724,3.0,1.0,-5.74,HR,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,delavirdine,0.0,1.0
CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1,1.3013562,0.8674261,1.8283353,3.0,1.0,-5.7120000000000015,LR,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,fenofibrate,0.0,1.0
CC(C)OC(C)=O,3.8025799,0.7822381,0.58975697,0.0,1.0,-0.5630000000000001,UR,CC(=O)OC(C)C,isopropyl acetate,0.0,1.0
CC(C)OC(C)C,5.3654556,-0.103117965,0.33002198,0.0,1.0,-1.1,UR,CC(C)OC(C)C,diisopropyl ether ,0.0,1.0
CC(C)OC=O,,,,,,-0.63,UR,CC(C)OC=O,isopropyl formate,1.0,2.0
CC(C)SC(C)C,5.490142,-0.21495919,-0.09991089,0.0,1.0,-2.24,UR,CC(C)SC(C)C,diisopropylsulfide,0.0,1.0
CC(C)[C@@H](C)O,5.820423,-0.3972264,-0.043132592,0.0,1.0,-0.1866666666666667,UR,CC(C)C(C)O,3-methyl-2-butanol,0.0,1.0
CC(C)[C@@H]1CC[C@@H](C)CC1=O,0.028492473,-1.7716779,-0.7757278,2.0,1.0,-2.396666666666667,UR,CC1CCC(C(C)C)C(=O)C1,menthone,0.0,1.0
CC(C)[C@H](C)CO,5.6873527,-0.21904998,0.117685914,0.0,1.0,-0.39,UR,CC(C)C(C)CO,"2,3-dimethylbutan-1-ol",0.0,1.0
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,0.66476,-1.7437476,-0.44954422,2.0,1.0,-2.53,UR,CC1CCC(C(C)C)C(O)C1,menthol,0.0,1.0
CC(C)[N+]([O-])=O,1.5275372,0.52247655,0.19947685,3.0,1.0,-0.62,UR,CC(C)[N+](=O)[O-],2-nitropropane,0.0,1.0
CC(C)\N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1,1.0381536,1.4524804,1.900171,3.0,1.0,-5.8,HR,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,clofazimine,0.0,1.0
CC(C)c1ccc(C)c(O)c1,-0.0666191,-0.78996086,1.8312423,3.0,1.0,-2.08,UR,Cc1ccc(C(C)C)cc1O,carvacrol,0.0,1.0
CC(C)c1ccc(C)cc1O,-0.2402853,-0.90181625,1.5483717,3.0,1.0,-2.186,HR,Cc1ccc(C(C)C)c(O)c1,thymol,0.0,1.0
CC(C)c1ccc(NC(=O)N(C)C)cc1,1.1229606,1.2985811,1.7555083,3.0,1.0,-3.469,HR,CC(C)c1ccc(NC(=O)N(C)C)cc1,isoproturon,0.0,1.0
CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(C)S(C)(=O)=O,,,,,,-2.48,LR,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1C=CC(O)CC(O)CC(=O)O,rosuvastatin,1.0,2.0
CC(C)n1c(\C=C\[C@H](O)C[C@H](O)CC(O)=O)c(-c2ccc(F)cc2)c2ccccc12,0.32917032,0.05863382,3.140215,3.0,1.0,-3.83,HR,CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,fluvastatin,0.0,1.0
CC1(C(=O)NC(=O)NC1=O)c1ccccc1,,,,,,-2.38,HR,CC1(c2ccccc2)C(=O)NC(=O)NC1=O,5-methyl-5-phenylbarbituric acid,1.0,2.0
CC1(C)C(=O)NC(=O)NC1=O,-0.636934,-1.3777591,-1.4602221,2.0,1.0,-1.742,HR,CC1(C)C(=O)NC(=O)NC1=O,"5,5-dimethylbarbituric acid",0.0,1.0
CC1(C)CON(Cc2ccccc2Cl)C1=O,0.74885476,0.912062,1.0487792,3.0,1.0,-2.338,UR,CC1(C)CON(Cc2ccccc2Cl)C1=O,clomazone,0.0,1.0
CC1(C)N(Cl)C(=O)N(Cl)C1=O,-0.37326428,-1.4601127,-0.85427094,2.0,1.0,-2.6,UR,CC1(C)C(=O)N(Cl)C(=O)N1Cl,"1,3-dichloro-5,5-dimethylimidazolidine-2,4-dione",0.0,1.0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O,-0.07183703,-0.4884543,3.0179837,-1.0,1.0,-2.031,HR,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,amoxicillin,0.0,1.0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,-0.22597308,-0.031124229,3.1339014,3.0,1.0,-1.5390000000000001,HR,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,ampicillin,0.0,0.0
CC1(C)[C@@H]2CC[C@@](C)(C2)C1=O,-0.12255198,-1.9802691,-0.38440737,2.0,1.0,-1.85,UR,CC12CCC(C1)C(C)(C)C2=O,d-fenchone,0.0,1.0
CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,-0.044911657,-2.0378432,-0.35012078,1.0,1.0,-2.086,HR,CC12CCC(CC1=O)C2(C)C,camphor,0.0,1.0
CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2,,,,,,-2.32,UR,CC1(C)C2CCC1(C)C(O)C2,borneol,1.0,2.0
CC1(CC=C)C(=O)NC(=O)NC1=O,,,,,,-1.16,HR,C=CCC1(C)C(=O)NC(=O)NC1=O,5-allyl-5-methylbarbituric acid,1.0,2.0
